layerCount,neuronCount,neuronInputCount,trainMACE,testMACE,trainARGM,testARGM
71,61,21,0.034801237,0.03513415,0.0451,0.0464
21,61,71,0.028868994,0.029509658,0.030433333,0.0319
71,21,61,0.02911744,0.029622277,0.031016666,0.0333
61,21,71,0.028843438,0.029709436,0.030416667,0.0339
91,91,11,0.040148556,0.040164594,0.05906667,0.0589
91,11,91,0.028677832,0.029685574,0.029183334,0.0317
11,91,91,0.028496543,0.029104467,0.029916666,0.0328
61,31,51,0.029122181,0.029824821,0.031683333,0.0358
31,61,51,0.029204817,0.029745886,0.031116666,0.033
61,51,31,0.03302785,0.033800516,0.036916666,0.0397
31,51,61,0.028659636,0.02954825,0.030266667,0.0322
51,61,31,0.031982154,0.032423798,0.03725,0.0379
51,31,61,0.028520208,0.029274091,0.0298,0.033
21,51,91,0.028179385,0.029061502,0.028716667,0.0314
21,91,51,0.029996246,0.0305711,0.03158333,0.0325
91,21,51,0.030591892,0.03109701,0.03248333,0.0353
91,51,21,0.034500174,0.03487187,0.045266666,0.0466
51,91,21,0.035319153,0.035702106,0.043183334,0.0449
51,21,91,0.028379522,0.029268054,0.028483333,0.033
41,61,41,0.031171858,0.03169275,0.0341,0.0345
61,41,41,0.031623054,0.032186233,0.03415,0.0343
41,41,61,0.028131347,0.028972542,0.028716667,0.0313
41,81,31,0.03165556,0.03220045,0.03816667,0.0393
31,81,41,0.031543244,0.032158546,0.032766666,0.0346
81,41,31,0.03119796,0.03169384,0.03565,0.0384
31,41,81,0.028584395,0.029286873,0.02985,0.0308
41,31,81,0.028161807,0.02879903,0.029933333,0.0321
81,31,41,0.030080033,0.030808294,0.032766666,0.0356
81,21,61,0.029136611,0.029768161,0.0299,0.0314
61,81,21,0.033750735,0.034196142,0.0429,0.0445
81,61,21,0.034350835,0.034750253,0.0433,0.045
61,21,81,0.028308412,0.029171687,0.028883334,0.0304
21,81,61,0.028021267,0.028665075,0.02935,0.0334
21,61,81,0.028576018,0.029483592,0.028033333,0.0299
71,71,21,0.033692013,0.033870015,0.042183332,0.0419
71,21,71,0.028563695,0.029254146,0.029233333,0.0328
21,71,71,0.028301107,0.029113796,0.028466666,0.0321
41,51,51,0.028921934,0.029342689,0.030466666,0.0322
51,41,51,0.029600127,0.03043121,0.03155,0.0346
51,51,41,0.030651927,0.031203711,0.032833334,0.0351
31,71,51,0.02926903,0.029871866,0.031033333,0.0334
51,71,31,0.031247005,0.031832375,0.036483333,0.0381
